RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13,13,1,0.272012275,0.351181929,0.125158051,0.137710336,0.082556887,0.015378781,0.005497962,0.004152228,0.002367251,0.003984301,0,0,0,0,0,0,0,0,0,0,0,0
13,13,2,0.100734527,0.321845257,0.114617606,0.073310527,0.251734788,0.053410566,0.010146195,0.034982563,0.028987395,0.010230576,0,0,0,0,0,0,0,0,0,0,0,0
13,13,3,0.126780197,0.357383656,0.205378598,0.167311712,0.035330569,0.00463153,0.103183738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,4,0.33197826,0.456007387,0.068888752,0.060715255,0.082410346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1,0.373588677,0.208977157,0.175364368,0.159933671,0.0323236,0.018821091,0.018577078,0.000276432,0.005593603,0,0.006544322,0,0,0,0,0,0,0,0,0,0,0
14,14,2,0.17939215,0.351984491,0.24688249,0.17070788,0.003926709,0.022896742,0.024209539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,3,0.129728139,0.182179489,0.256220904,0.250409956,0.074499525,0,0.056832254,0,0,0.050129733,0,0,0,0,0,0,0,0,0,0,0,0
14,14,4,0.178006209,0.061219383,0.155257045,0.45419928,0.072001536,0.079316547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1,0.213908923,0.297026388,0.15088473,0.153792971,0.087916465,0.015526599,0.015034344,0.005576785,0.010609824,0.000333524,0.011789083,0.004965462,0.000956181,0,0.031678721,0,0,0,0,0,0,0
15,15,2,0.153983097,0.309299957,0.305487706,0.089471876,0.028162009,0.042756941,0.012393419,0.051327715,0,0.00711728,0,0,0,0,0,0,0,0,0,0,0,0
15,15,3,0.060556606,0.285157384,0.236055928,0.14717999,0.029687905,0.071765589,0.052793934,0.116802665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,4,0.095181069,0.506980451,0.379480911,0.018357569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,1,0.286762796,0.328549553,0.107541095,0.103847757,0.081470916,0.049302911,0.021969159,0.001197747,0.011644976,0.0015673,0.005407907,0,0,0,0.000737882,0,0,0,0,0,0,0
16,16,2,0.209825208,0.30230316,0.2611799,0.075236697,0.018354546,0.070343645,0.005124127,0.014144435,0.043488282,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,3,0.213074034,0.317191117,0.297153972,0.005083129,0.024412142,0.067484354,0.048577805,0,0.027023446,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,4,0.574157229,0.229181891,0.117586402,0.02945758,0.006150423,0.017725896,0.025740579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,1,0.321074965,0.294332934,0.168325953,0.074154539,0.028792987,0.044404698,0.021193927,0.016672668,0.021165757,0,0.000469078,0.000328238,0,0.000775803,0.008308453,0,0,0,0,0,0,0
17,17,2,0.194499657,0.327209148,0.083196097,0.043871213,0.040698987,0.036779684,0.089880247,0.088530345,0.018052385,0.077282238,0,0,0,0,0,0,0,0,0,0,0,0
17,17,3,0.392996564,0.225061877,0.09408033,0.208966731,0,0.049852284,0.006493186,0.022549028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,4,0.255669714,0.196434642,0.087435813,0,0.010036697,0.450423134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1,0.246424698,0.366171327,0.130491085,0.067877964,0.024223073,0.043823175,0.026883767,0.030841629,0.016307427,0.040083672,0,0,0,0,0.006872181,0,0,0,0,0,0,0
18,18,2,0.266516444,0.42257436,0.176173987,0.027934585,0.038440323,0.034968243,0.005855163,0.027481699,0,0,0,0,0,0,0.000055195,0,0,0,0,0,0,0
18,18,3,0.317364932,0.060297036,0.325719437,0.038569078,0.002539918,0.106407425,0.048356502,0.044705164,0.036136743,0,0,0,0,0,0.019903764,0,0,0,0,0,0,0
18,18,4,0.192447358,0.600614014,0,0.080762067,0.048274384,0.061693295,0.016208882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1,0.33592119,0.419655683,0.118604287,0.039885349,0.034387653,0.014337681,0.016984411,0.012047777,0.004019563,0,0.000147689,0,0.003578235,0,0.000430483,0,0,0,0,0,0,0
19,19,2,0.179978092,0.244848081,0.304683488,0.117844111,0.113982971,0.007225957,0.012896683,0,0.015286627,0,0,0,0,0,0,0.000051738,0.003202249,0,0,0,0,0
19,19,3,0.094869621,0.330882974,0.122389877,0.334065329,0.005073484,0.091668966,0.021049749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,4,0.134852681,0.619051708,0,0.216567797,0.01023434,0,0.019293474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,1,0.362769405,0.413482029,0.07855437,0.038650646,0.020313671,0.02433906,0.025574615,0.014692096,0.009758834,0.000196563,0.010566114,0,0,0,0,0,0,0.001102597,0,0,0,0
20,20,2,0.356122588,0.426461172,0.109506002,0.015219449,0.01626408,0.044556625,0.006298223,0,0.008458757,0.004386093,0,0,0,0,0,0,0,0.012727011,0,0,0,0
20,20,3,0.180114197,0.384515275,0.034226458,0.013210131,0.060947909,0.326986031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,4,0.505787788,0.26081431,0.089730406,0.143667496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,1,0.371723853,0.387992164,0.087446414,0.059778226,0.017808032,0.016747261,0.018170613,0.004839106,0.030939902,0.001075755,0.000260049,0,0,0,0,0.003218624,0,0,0,0,0,0
21,21,2,0.26780371,0.323906354,0.144820499,0.015425172,0.016747197,0.051649995,0.129016259,0.028218102,0.022412712,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,3,0.28966736,0.22480643,0.233933339,0.054524932,0,0.148149853,0.048918085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,4,0,0.056819452,0.278060185,0.665120362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,48,1,0.271471257,0.387927257,0.118765207,0.067307408,0.03675415,0.026117238,0.014210301,0.01125429,0.021150108,0.00994353,0.009064868,0.003182737,0.003550568,0.003565921,0.002941014,0.00066514,0,0.000369802,0.010110173,0.000216312,0,0.001432719
22,48,2,0.235487186,0.336198712,0.125663723,0.058961965,0.101003518,0.031765644,0.020869224,0.00734297,0.029459428,0.023816022,0.008747967,0,0.001576052,0,0,0.000902388,0,0,0.000114201,0.018090999,0,0
22,48,3,0.164038831,0.251451413,0.077004575,0.206696589,0.048415663,0.038628108,0.129155646,0.030696534,0.015206294,0,0.029420549,0,0,0,0,0,0,0,0,0.009285797,0,0
22,48,4,0.070935595,0.257613149,0.458120808,0,0.213330448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
