"Purpose","Duration","DurationLo","DurationHi","Outbound","Inbound","Percent"
5,"2to4",2,4,0,1,0.187421
5,"2to4",2,4,0,2,0.085132
5,"2to4",2,4,0,3,0.028983
5,"2to4",2,4,0,4,0.013204
5,"2to4",2,4,1,0,0.136621
5,"2to4",2,4,1,1,0.054479
5,"2to4",2,4,1,2,0.019381
5,"2to4",2,4,1,3,0.006556
5,"2to4",2,4,1,4,0.0034
5,"2to4",2,4,2,0,0.046026
5,"2to4",2,4,2,1,0.03061
5,"2to4",2,4,2,2,0.009821
5,"2to4",2,4,2,3,0.001881
5,"2to4",2,4,2,4,0.000711
5,"2to4",2,4,3,0,0.032522
5,"2to4",2,4,3,1,0.011613
5,"2to4",2,4,3,2,0.000912
5,"2to4",2,4,3,3,0.000316
5,"2to4",2,4,4,0,0.006205
5,"2to4",2,4,4,1,0.002036
5,"2to4",2,4,4,2,0.000653
5,"2to4",2,4,4,3,0.000327
5,"4to8",4,8,0,0,0.163185
5,"4to8",4,8,0,1,0.159014
5,"4to8",4,8,0,2,0.101754
5,"4to8",4,8,0,3,0.04603
5,"4to8",4,8,0,4,0.037508
5,"4to8",4,8,1,0,0.098804
5,"4to8",4,8,1,1,0.05621
5,"4to8",4,8,1,2,0.036004
5,"4to8",4,8,1,3,0.022419
5,"4to8",4,8,1,4,0.021589
5,"4to8",4,8,2,0,0.035395
5,"4to8",4,8,2,1,0.024549
5,"4to8",4,8,2,2,0.008069
5,"4to8",4,8,2,3,0.012171
5,"4to8",4,8,2,4,0.011287
5,"4to8",4,8,3,0,0.034109
5,"4to8",4,8,3,1,0.016282
5,"4to8",4,8,3,2,0.015022
5,"4to8",4,8,3,3,0.001633
5,"4to8",4,8,3,4,0.00877
5,"4to8",4,8,4,0,0.030401
5,"4to8",4,8,4,1,0.037602
5,"4to8",4,8,4,2,0.013977
5,"4to8",4,8,4,3,0.004929
5,"4to8",4,8,4,4,0.003287
5,"8to12",8,12,0,0,0.137107
5,"8to12",8,12,0,1,0.110586
5,"8to12",8,12,0,2,0.072591
5,"8to12",8,12,0,3,0.119658
5,"8to12",8,12,0,4,0.06115
5,"8to12",8,12,1,0,0.046188
5,"8to12",8,12,1,1,0.050037
5,"8to12",8,12,1,2,0.05634
5,"8to12",8,12,1,3,0.018151
5,"8to12",8,12,1,4,0.016744
5,"8to12",8,12,2,0,0.022382
5,"8to12",8,12,2,1,0.123524
5,"8to12",8,12,2,2,0.01242
5,"8to12",8,12,2,3,0.018009
5,"8to12",8,12,2,4,0.002427
5,"8to12",8,12,3,0,0.000944
5,"8to12",8,12,3,1,0.017928
5,"8to12",8,12,3,2,0.046218
5,"8to12",8,12,3,4,0.000939
5,"8to12",8,12,4,0,0.0278
