TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,University,School,Escort,Maintenance,Discretionary,AtWork
1801,1.35445,0.26024,0.05459,0.31852,0.13743,-0.0254,1.21384,0,0,0,0
1802,-0.75385,0.07118,0.52026,1.04061,0.82491,0,0,0,0,0,0
1803,1.54121,0.41128,0.51896,0.66714,0.53258,0.59812,0,0,0,0,0
1804,1.25251,0.11069,-0.1437,0.01271,0.15115,0.01737,0.94261,0,0,0,0
1805,1.18986,0.13786,0.37932,-0.06641,0.30493,0,0,0,0,0,0
1806,1.05476,0.74667,0.53504,0.36808,0.43257,0,0,0,0,0,0
1807,0.18623,0.05134,1.1528,-0.05921,0.28085,0,0,0,0,0,0
1808,1.25156,0.52061,0.83211,0.02363,0.59352,-0.61828,0,0,0,0,0
1809,1.59228,0.31707,0.28153,0.31795,0.20903,-0.19724,0.98339,0,0,0,0
1810,1.49321,0.31637,0.39417,0.36828,0.39868,-0.39514,0,0,0,0,0
1811,1.45181,0.34212,0.03515,0.30942,0.10533,0.06036,0.31627,0,0,0,0
1812,1.31619,0.56427,1.04098,0.52415,0.75438,0,0,0,0,0,0
1813,1.70511,0.34265,0.31486,0.48787,0.33251,0.20528,1.54052,0,0,0,0
1814,2.00042,0.4465,0.49793,0.60631,0.9108,0,0,0,0,0,0
1815,1.94239,0.67652,0.43147,0.56477,0.45166,0.46407,0,0,0,0,0
1816,2.02775,0.65809,0.50841,0.56048,0.38742,0,0,0,0,0,0
1817,1.47453,0.74213,0.47305,0.73002,0.32546,0.86518,2.30421,0,0,0,0
1818,0.82933,0.36896,0.68115,0.39318,0.6337,-0.14336,2.47831,0,0,0,0
1819,1.75727,0.48964,0.33922,0.86086,0.42091,0.25531,0,0,0,0,0
1820,5.0245,2.7377,2.44014,3.22552,2.23552,3.56308,2.38546,0,0,0,0
1821,3.57952,0.50677,-1.96546E-5,-0.56473,0.06657,0,0,0,0,0,0
1822,2.77752,1.14697,0.50613,1.44599,0.54359,0,0,0,0,0,0
1823,1.32653,1.07078,1.48865,1.13339,-0.31791,0.90669,0,0,0,0,0
1824,1.61106,1.13876,1.6772,1.05401,-0.27754,1.13272,0,0,0,0,0
