RemainingLow,RemainingHigh,StopNumber,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
7,7,4,0.439470614,0.135942097,0.126434069,0.007800119,0.045902245,0.19470007,0.032830109,0.016920677,0,0,0,0,0,0,0,0
8,8,1,0,0.000066032,0.002574779,0.029677725,0.07445179,0.102668986,0.185618086,0.331646257,0.273296346,0,0,0,0,0,0,0
8,8,2,0.061914587,0.135783194,0.099563421,0.041889133,0.051181861,0.09939267,0.178613842,0.123968683,0.20769261,0,0,0,0,0,0,0
8,8,3,0.04425251,0.117943731,0.179665685,0.149350625,0.123997679,0.031748483,0.100234718,0.09315336,0.159653209,0,0,0,0,0,0,0
8,8,4,0.004934932,0.136721369,0.05625463,0,0.407823611,0.013038726,0.294812087,0.031089965,0.05532468,0,0,0,0,0,0,0
9,9,1,0,0,0.005791113,0.027272308,0.048153038,0.073912046,0.102078,0.101867217,0.377028599,0.26389768,0,0,0,0,0,0
9,9,2,0.023500655,0.113566814,0.20375641,0.106057029,0.079279915,0.010130076,0.137073624,0.119451126,0.1337499,0.07343445,0,0,0,0,0,0
9,9,3,0.127609787,0.368901573,0.033215054,0.03621459,0.113508248,0,0,0.121775752,0.160696905,0.03807809,0,0,0,0,0,0
9,9,4,0.098383031,0.166658233,0.008489838,0.108074173,0.472889031,0.117727605,0,0.006737329,0.021040759,0,0,0,0,0,0,0
10,10,1,0,0.000612199,0,0.010093529,0.036172008,0.048679556,0.079680189,0.088658129,0.130340874,0.373103749,0.232659767,0,0,0,0,0
10,10,2,0.058758344,0.136314517,0.147794424,0.086235464,0.218910448,0.035140583,0.020102299,0.011831225,0.010784088,0.186990903,0.087137705,0,0,0,0,0
10,10,3,0.130899483,0.292634245,0.058334269,0.028713365,0,0.078014884,0.129082899,0.088555529,0.021456048,0.161607123,0.010702156,0,0,0,0,0
10,10,4,0.028281371,0.263446708,0.32099663,0.081975199,0,0,0,0.025917601,0,0.27938249,0,0,0,0,0,0
11,11,1,0,0,0,0.005091259,0.058284755,0.040817951,0.05141146,0.060595342,0.146015375,0.10079398,0.259965155,0.277024723,0,0,0,0
11,11,2,0.013729425,0.27789095,0.04717181,0.081658872,0.057635955,0.019440203,0.077577852,0.038392113,0.140905882,0.035985319,0.165546352,0.044065267,0,0,0,0
11,11,3,0.268050386,0.103889008,0.047061667,0,0.039971835,0.125302884,0.04197984,0.003516764,0.208772018,0.003508607,0.157946989,0,0,0,0,0
11,11,4,0.005932254,0.328138402,0.117938708,0.146526096,0.033809027,0,0,0,0,0,0.367655513,0,0,0,0,0
12,12,1,0,0,0.004234845,0.01525069,0.024961128,0.02429869,0.03341805,0.046299413,0.048930781,0.099775636,0.198340421,0.33814504,0.166345305,0,0,0
12,12,2,0.004628118,0.171221367,0.182121354,0.105694516,0.066776735,0.016734788,0.005978239,0.01805882,0.043997921,0.195981624,0.090516837,0.049554577,0.048735105,0,0,0
12,12,3,0,0.199895825,0.198691965,0,0.562526883,0,0.014688476,0.024196851,0,0,0,0,0,0,0,0
12,12,4,0,0.117600579,0.036171319,0.343777706,0.418251641,0,0,0.084198754,0,0,0,0,0,0,0,0
13,13,1,0,0.000745353,0.006013519,0.005476044,0.001837876,0.008439606,0.018253646,0.048541779,0.032530154,0.05423156,0.080810841,0.158560587,0.297975225,0.28658381,0,0
13,13,2,0,0.274359115,0.055063166,0.162245099,0.008152667,0.028040488,0,0,0.008760496,0.043865144,0.023627591,0.038393689,0.223697328,0.133795216,0,0
13,13,3,0.056855033,0.116269757,0.049574415,0.246580994,0.098822945,0.004660106,0,0,0.32358052,0.098689829,0,0,0.0049664,0,0,0
13,13,4,0,0,0,0.049709172,0,0.174587959,0.377090837,0,0.398612032,0,0,0,0,0,0,0
14,14,1,0,0,0.007613525,0.004558363,0.000951103,0.026959095,0.025617363,0.016177503,0.063236086,0.056274115,0.032308358,0.073538492,0.075667308,0.348568134,0.268530555,0
14,14,2,0.072897138,0.099485772,0.09950358,0.263037909,0.051883385,0.020370555,0.017957217,0,0.024234578,0.151488799,0.039765443,0,0.017663957,0.033070039,0.108641627,0
14,14,3,0.097794574,0.136679852,0.028634717,0.614079272,0.034542309,0,0,0,0,0,0,0,0.088269277,0,0,0
14,14,4,0,0.107207837,0.102547625,0,0.784503229,0,0,0,0,0,0,0,0.005741308,0,0,0
15,15,1,0,0,0.016080671,0,0.001870421,0.01099636,0.021312138,0.03891812,0.034862073,0.031773104,0.034225885,0.083290866,0.080699253,0.06163618,0.324369186,0.259965745
15,15,2,0.022135328,0.05450314,0.27196144,0.193835477,0.185001998,0.004900019,0,0.018443175,0.001630164,0.033859151,0,0,0.009156251,0.025308927,0,0.179264929
15,15,3,0.046426323,0.769461309,0,0,0.172910693,0,0,0.011201675,0,0,0,0,0,0,0,0
15,15,4,0,0.24519508,0,0,0,0.117946975,0,0,0,0,0.512645291,0,0,0,0.124212654,0
16,48,1,0,0.005588601,0.011812151,0.003453539,0.014982638,0.010062195,0.044758234,0.040073066,0.043338853,0.058766475,0.094500252,0.109843736,0.080712137,0.091076149,0.11667967,0.274352305
16,48,2,0.099361362,0.145735118,0.222627187,0.427930342,0.002376806,0.032195859,0,0.041319027,0.002563936,0.00647891,0,0.017278005,0.001021184,0,0.001112264,0
16,48,3,0.140135357,0.298634126,0.130687518,0.213432884,0,0.19020496,0,0.025943937,0,0,0,0.000961218,0,0,0,0
16,48,4,0.056939609,0,0.086442818,0.202940126,0,0.341146541,0,0,0,0,0.212933316,0.099597591,0,0,0,0
