TimeSeg_96,Vis_Long,Vis_Short,Res_Long,Res_Short,3_Axles,4_Axles,5p_Axles
41,0.028383457318723364,0.01834843982258599,0.022022360526026505,0.013866652071379047,0.019161636675978574,0.018422677403847846,0.01712432271388322
42,0.02615933663158132,0.018104438727704994,0.02127279009492435,0.013883666339216831,0.018918877445718685,0.018343662564591783,0.01712011961054631
43,0.025348707702595782,0.018172902880185967,0.021042654115837417,0.01430159259819707,0.01886984990206,0.018200441696058185,0.017062058136543382
44,0.0250031985493757,0.01807292727281958,0.02032338750818936,0.014069416500938568,0.01892585945897837,0.0181895680943257,0.017121194823027847
45,0.02336389600695598,0.0178234193903318,0.020540494159050997,0.014203435902937581,0.018978186195715806,0.018026256952114936,0.017010301317545825
46,0.021282201822780403,0.017185724465030056,0.01955689337916472,0.014537183030302143,0.019082302591247623,0.01799498240237007,0.01693273939899141
47,0.019922454871082677,0.017262035086136978,0.01936140397121819,0.015325519600403249,0.018997827903347454,0.017750792374891963,0.016801514602949444
48,0.019375301658701344,0.017238835654681487,0.01956042839447617,0.016104828533411917,0.018782306197342384,0.017690625111972207,0.01677849528118566
49,0.019038209921679542,0.017543509368305444,0.019917867938723393,0.016919330389784354,0.01851292324619116,0.017509916206989468,0.01659903254335843
50,0.017494008008236774,0.016574231461653065,0.018559239097144128,0.01594180482451027,0.018468038875236025,0.01739765921386552,0.01648848115093872
51,0.016923386369984125,0.016178988267453467,0.017835573233310455,0.015793743481936275,0.01847133806831478,0.017293790427792347,0.0162949429042623
52,0.01635370164897175,0.015744885495890655,0.01737496929154807,0.01544815102955148,0.018591183175036004,0.01737011275614322,0.016030098520742216
53,0.01626362915053996,0.015600093860276136,0.017438028064000813,0.01563014770194485,0.018492667735196023,0.0173419449497505,0.0158682790422711
54,0.01556526758586608,0.015094948157396907,0.01642484266071767,0.014972089882529344,0.018480621844187552,0.01730466402952483,0.015756505817486003
55,0.015164118208393923,0.014784857525348501,0.016066389491571145,0.015148321354182512,0.018535173618117635,0.017385853589127392,0.015660958526513176
56,0.014585589503651134,0.014546334859183859,0.01579051602138754,0.015229396928552954,0.018574994111323982,0.017401905096446776,0.01549302988621515
57,0.01464491524838347,0.014914662226630045,0.016320095192616978,0.015885262256484338,0.01858811415821856,0.017411639558950143,0.015240990305884267
58,0.014058656707090647,0.014551394288093262,0.015381156657747887,0.015576650374974878,0.01853049336747103,0.01737166612781929,0.015043786562111701
59,0.014143316486610774,0.014650638824218567,0.015330021124836835,0.015803659466260275,0.018485071918572845,0.01731232732979344,0.01471164365190641
60,0.01379797259527455,0.01467058870309251,0.01541815653716031,0.01616701528917628,0.01842998306669971,0.01730683874987133,0.014388640047794173
61,0.01392544142610612,0.015221814222807854,0.015778474798333733,0.01695896060722043,0.018217837279193832,0.017420234882224394,0.014063632638602708
62,0.013328618616166238,0.0152076124841157,0.015527762830954365,0.016816225456617328,0.017515492780521565,0.017285505778853308,0.013638141735682275
63,0.01323568823513517,0.015514988244012482,0.015062235876006254,0.0169865871940553,0.016941049557716314,0.017011076782747717,0.013106351416973656
64,0.013294986669439223,0.015668166064166687,0.01518514124348246,0.017306036437502746,0.01630852519164092,0.016410750409002764,0.012462690126890712
65,0.013169295408581526,0.016404933907572885,0.015684676959229482,0.018307171756321725,0.015550938390254645,0.015904454800715877,0.011946881375521282
66,0.01271116583950886,0.01629236162909279,0.014755082240500933,0.01757790080464908,0.014682483356338172,0.015235676515112132,0.011319641512429065
67,0.012514113070336993,0.016396646291380063,0.01455279847694431,0.0179852291620479,0.013615079307230833,0.014377594001251397,0.01073360183669751
68,0.012414301676796604,0.016923946830309258,0.01470063860572993,0.018892343558486496,0.012634374983216314,0.013358375065526396,0.01019677756864352
69,0.012508795937344283,0.017734607912279654,0.014974645243843019,0.020414364453511268,0.011542879152092034,0.01241040411067711,0.009683412482004853
70,0.011515242596935092,0.017106830995620187,0.012562278397168787,0.01748877153387076,0.010419312095225454,0.011416867586663123,0.00902376962458272
71,0.011175896043255666,0.01700495159742448,0.011586999642640343,0.01699222323704205,0.00972049696589325,0.010785370221285045,0.008738251837440385
72,0.010297567958894607,0.016984853875242133,0.010757768733528303,0.016009504269532807,0.00906925159723144,0.010300925374574868,0.008520863422991718
73,0.009858314079503971,0.01716766534165489,0.010444269843412828,0.016009078094355502,0.008582505529984678,0.009745543221324189,0.008389101020708983
74,0.008827741278327821,0.016324284079603794,0.009028979454697139,0.014179714090259993,0.00801473741875737,0.009010073511761198,0.008193754462131799
75,0.008468947575275406,0.015724875146226475,0.008151866698265536,0.013272288915535689,0.007448043463416169,0.008136043048692816,0.00802059637930994
76,0.008044935046430411,0.014932027279250462,0.007415949779386026,0.012455816393763103,0.00673326944663325,0.0073815186465700415,0.0077117660306361266
77,0.007999668790027597,0.015028959445148772,0.007218512848754273,0.012564607393296295,0.006137343106105885,0.006639731892191035,0.007432943884856082
78,0.007283948348724321,0.013898316526529364,0.006251179009469958,0.01117031938952975,0.005626965609364798,0.005924870246863898,0.007104173231979243
79,0.006708324671264337,0.013218048276763818,0.005710793983401299,0.010415577575235783,0.005125948613916917,0.005247496637985903,0.006783564419303153
80,0.006102499313179506,0.012420057365240116,0.005235296650356783,0.009875298836497032,0.004521582477141579,0.004822079914966363,0.006527614975403048
81,0.006510408685106869,0.01322087363768647,0.005341200473668879,0.010616091194294642,0.004103275484923839,0.00436642422331934,0.006348445477343514
82,0.0057677803607865345,0.01186507744428484,0.004502673122313565,0.0092218177360426,0.0038135602973570393,0.004051400447412466,0.006311839379676686
83,0.005303929402552745,0.011367200644503533,0.004245170121287264,0.008736609820461212,0.0035864530528661163,0.0036432779290531663,0.006175482887700117
84,0.004878002307959478,0.010962581559458923,0.003914860379587036,0.008311166144244686,0.003252620748548547,0.0033673991193832412,0.006099582661162621
85,0.0045461101918846105,0.010925302096238317,0.003904782161626718,0.008319486552157196,0.0030227513889219235,0.003161111360801225,0.00612680508626332
86,0.004113397404556948,0.010122762178737168,0.003343365306159725,0.0075053766661626175,0.0028302473090476917,0.0029991464740430555,0.006147234123412498
87,0.0038973005357333924,0.009433945866424943,0.0031117077124510496,0.00700426326865137,0.002635978544503429,0.0029026303139032773,0.006144741585387119
88,0.0036889428348362446,0.008616541180648786,0.002813748524032245,0.0065382735192117455,0.0024859036221303735,0.0027213000602501094,0.00615432075113171
89,0.003304899316652937,0.00795141319945872,0.0026647874819798914,0.00619588085548583,0.0023740379591345065,0.002634621920725437,0.006075879113274222
90,0.0030062947756730753,0.006904111690645515,0.0023320804358962915,0.00541687718985841,0.0021823011334646363,0.00254007336470868,0.005957801233483759
91,0.002625919236416955,0.006022631605192947,0.0021490972378366588,0.004842071290161581,0.002078414914194126,0.0024194281645339563,0.005775112858211926
92,0.002476172496760949,0.005371228663560103,0.001966939886421687,0.0044604737193355585,0.001951280892531471,0.0023289183748749793,0.005565397551017855
93,0.002275212641460422,0.004753429682804584,0.0017953320194947838,0.00415831855892371,0.0018678803605174056,0.0022328164471821527,0.005533385543044861
94,0.0019922735600588514,0.0040973578745482995,0.0015709391000434416,0.003503695575912931,0.0017938403297965472,0.0022126226153932507,0.005476252661639625
95,0.0018700357748616234,0.003666948543802666,0.0013567549046478165,0.003079150653932764,0.001759313890600292,0.002162189814976864,0.005408807515070569
96,0.0017309970020614998,0.0031879812457411417,0.0012233494946043005,0.00275073091594338,0.0016377040992090377,0.002113413944348285,0.005422345417678996
