TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
8029,Florida,Hamilton,2,53,2_North Central,11547
8231,Florida,Escambia,1,41,1_Northwest,11503
8233,Florida,Escambia,1,41,1_Northwest,11503
8552,Florida,Gadsden,2,46,2_North Central,11528
8550,Florida,Gadsden,2,47,2_North Central,11528
7790,Florida,Madison,2,208,2_North Central,11544
8048,Florida,Nassau,3,109,3_Northeast,11559
8497,Florida,Washington,1,163,1_Northwest,11525
8235,Florida,Escambia,1,41,1_Northwest,11503
8047,Florida,Nassau,3,109,3_Northeast,11559
8373,Florida,Okaloosa,1,114,1_Northwest,11515
8371,Florida,Okaloosa,1,114,1_Northwest,11515
8554,Florida,Gadsden,2,47,2_North Central,11528
8553,Florida,Gadsden,2,47,2_North Central,11528
7985,Florida,Leon,2,85,2_North Central,11538
7982,Florida,Leon,2,85,2_North Central,11540
8377,Florida,Okaloosa,1,114,1_Northwest,11515
8239,Florida,Escambia,1,41,1_Northwest,11503
8227,Florida,Escambia,1,41,1_Northwest,11503
8376,Florida,Okaloosa,1,114,1_Northwest,11515
8555,Florida,Gadsden,2,47,2_North Central,11528
8241,Florida,Escambia,1,41,1_Northwest,11503
8557,Florida,Gadsden,2,46,2_North Central,11528
8240,Florida,Escambia,1,41,1_Northwest,11503
7980,Florida,Leon,2,85,2_North Central,11542
7976,Florida,Leon,2,85,2_North Central,11542
8243,Florida,Escambia,1,41,1_Northwest,11503
8238,Florida,Escambia,1,41,1_Northwest,11503
8041,Florida,Nassau,3,109,3_Northeast,11559
7786,Florida,Madison,2,208,2_North Central,11544
8236,Florida,Escambia,1,40,1_Northwest,11502
8049,Florida,Nassau,3,109,3_Northeast,11559
8050,Florida,Nassau,3,110,3_Northeast,11559
8375,Florida,Okaloosa,1,114,1_Northwest,11515
8016,Florida,Hamilton,2,53,2_North Central,11552
8051,Florida,Nassau,3,109,3_Northeast,11559
8561,Florida,Gadsden,2,47,2_North Central,11528
8379,Florida,Okaloosa,1,114,1_Northwest,11515
8237,Florida,Escambia,1,41,1_Northwest,11503
8244,Florida,Escambia,1,41,1_Northwest,11503
7984,Florida,Leon,2,85,2_North Central,11538
8381,Florida,Okaloosa,1,114,1_Northwest,11515
7973,Florida,Leon,2,85,2_North Central,11540
8246,Florida,Escambia,1,41,1_Northwest,11503
7983,Florida,Leon,2,85,2_North Central,11542
8247,Florida,Escambia,1,41,1_Northwest,11503
8563,Florida,Gadsden,2,47,2_North Central,11537
8558,Florida,Gadsden,2,46,2_North Central,11528
8566,Florida,Gadsden,2,47,2_North Central,11528
8565,Florida,Gadsden,2,47,2_North Central,11528
8382,Florida,Okaloosa,1,114,1_Northwest,11515
8378,Florida,Okaloosa,1,114,1_Northwest,11515
8031,Florida,Hamilton,2,53,2_North Central,11552
8052,Florida,Nassau,3,109,3_Northeast,11559
8380,Florida,Okaloosa,1,114,1_Northwest,11515
8245,Florida,Escambia,1,40,1_Northwest,11503
8383,Florida,Okaloosa,1,114,1_Northwest,11515
8032,Florida,Hamilton,2,53,2_North Central,11547
8551,Florida,Gadsden,2,47,2_North Central,11538
8234,Florida,Escambia,1,40,1_Northwest,11502
7744,Florida,Calhoun,1,18,1_Northwest,11529
8054,Florida,Nassau,3,109,3_Northeast,11559
8251,Florida,Escambia,1,41,1_Northwest,11503
8252,Florida,Escambia,1,41,1_Northwest,11503
8056,Florida,Nassau,3,109,3_Northeast,11559
7795,Florida,Madison,2,208,2_North Central,11547
8569,Florida,Gadsden,2,47,2_North Central,11537
8248,Florida,Escambia,1,41,1_Northwest,11503
8556,Florida,Gadsden,2,46,2_North Central,11528
8249,Florida,Escambia,1,41,1_Northwest,11502
8250,Florida,Escambia,1,41,1_Northwest,11503
8573,Florida,Gadsden,2,46,2_North Central,11528
8242,Florida,Escambia,1,40,1_Northwest,11503
8386,Florida,Okaloosa,1,114,1_Northwest,11515
8562,Florida,Gadsden,2,47,2_North Central,11538
8564,Florida,Gadsden,2,46,2_North Central,11528
8571,Florida,Gadsden,2,46,2_North Central,11528
8385,Florida,Okaloosa,1,114,1_Northwest,11515
8567,Florida,Gadsden,2,46,2_North Central,11528
8254,Florida,Escambia,1,41,1_Northwest,11502
8253,Florida,Escambia,1,41,1_Northwest,11502
8255,Florida,Escambia,1,41,1_Northwest,11502
8103,Florida,Walton,1,161,1_Northwest,11520
8230,Florida,Escambia,1,40,1_Northwest,11502
7720,Florida,Jefferson,2,207,2_North Central,11542
7793,Florida,Madison,2,208,2_North Central,11547
8256,Florida,Escambia,1,41,1_Northwest,11502
8257,Florida,Escambia,1,40,1_Northwest,11503
8033,Florida,Hamilton,2,53,2_North Central,11547
7794,Florida,Madison,2,208,2_North Central,11547
8579,Florida,Gadsden,2,46,2_North Central,11528
8572,Florida,Gadsden,2,46,2_North Central,11528
7746,Florida,Calhoun,1,19,1_Northwest,11530
8575,Florida,Gadsden,2,46,2_North Central,11528
8259,Florida,Escambia,1,41,1_Northwest,11502
8577,Florida,Gadsden,2,46,2_North Central,11528
7719,Florida,Jefferson,2,207,2_North Central,11542
7981,Florida,Leon,2,85,2_North Central,11542
